Label Identifying Reader Id,Write Message timestamp,Read Start Timestamp,Read Finish Timestamp
reader1,2021-04-18 01:39:21.871350,2021-04-18 01:39:21.873534,2021-04-18 01:39:21.874945
reader1,2021-04-18 01:39:21.871350,2021-04-18 01:39:21.875009,2021-04-18 01:39:21.876517
reader1,2021-04-18 01:39:21.875891,2021-04-18 01:39:21.876589,2021-04-18 01:39:21.879307
reader1,2021-04-18 01:39:21.875891,2021-04-18 01:39:21.879331,2021-04-18 01:39:21.880756
reader1,2021-04-18 01:39:21.875891,2021-04-18 01:39:21.880969,2021-04-18 01:39:21.882655
reader1,2021-04-18 01:39:21.881286,2021-04-18 01:39:21.882737,2021-04-18 01:39:21.883946
reader1,2021-04-18 01:39:21.881286,2021-04-18 01:39:21.883967,2021-04-18 01:39:21.885352
reader1,2021-04-18 01:39:21.881286,2021-04-18 01:39:21.885371,2021-04-18 01:39:21.886653
reader1,2021-04-18 01:39:21.881286,2021-04-18 01:39:21.886670,2021-04-18 01:39:21.900998
reader1,2021-04-18 01:39:21.887255,2021-04-18 01:39:21.901029,2021-04-18 01:39:21.903359
reader1,2021-04-18 01:39:21.887255,2021-04-18 01:39:21.903378,2021-04-18 01:39:21.905687
reader1,2021-04-18 01:39:21.887255,2021-04-18 01:39:21.905725,2021-04-18 01:39:21.907384
reader1,2021-04-18 01:39:21.887255,2021-04-18 01:39:21.907401,2021-04-18 01:39:21.908774
reader1,2021-04-18 01:39:21.907551,2021-04-18 01:39:21.908796,2021-04-18 01:39:21.910356
reader1,2021-04-18 01:39:21.907551,2021-04-18 01:39:21.910373,2021-04-18 01:39:21.911502
reader1,2021-04-18 01:39:21.907551,2021-04-18 01:39:21.911518,2021-04-18 01:39:21.912557
reader1,2021-04-18 01:39:21.907551,2021-04-18 01:39:21.912572,2021-04-18 01:39:21.913746
reader1,2021-04-18 01:39:21.912682,2021-04-18 01:39:21.913768,2021-04-18 01:39:21.915088
reader1,2021-04-18 01:39:21.912682,2021-04-18 01:39:21.915108,2021-04-18 01:39:21.916348
reader1,2021-04-18 01:39:21.912682,2021-04-18 01:39:21.916368,2021-04-18 01:39:21.917460
reader1,2021-04-18 01:39:21.917349,2021-04-18 01:39:21.917479,2021-04-18 01:39:21.930089
reader1,2021-04-18 01:39:21.926279,2021-04-18 01:39:21.930141,2021-04-18 01:39:21.932804
reader1,2021-04-18 01:39:21.926279,2021-04-18 01:39:21.932862,2021-04-18 01:39:21.934691
